ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
ΜΕΛΟΔΥΣΣΕΙΑ,,ΜΟΥΣΙΚΗ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://melodisia.mmb.org.gr/,,Ελεύθερο Λογισμικό,"ΕΦΑΡΜΟΓΗ
","MS WINDOWS
",
Μετανάστες,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Εκπαιδευτικός Μικρόκοσμος για την στατιστική παρουσίαση του φαινομένου της μετανάστευσης,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Μέτρια και Ελαφριά Νοηματική Καθυστέρηση,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/gia-mathites-me-metria-kai-elafria-nohtikh-kathysterhsh/metria-kai-elafria-nohtikh-kathysterhsh,Εφαρμογή για χρήση από μαθητές με Μέτρια και Ελαφριά Νοητική Καθυστέρηση,ΥΠΕΠΘ /ΙΕΛ/ Γ΄ ΚΠΣ,"ΕΦΑΡΜΟΓΗ
",Windows,
Μικροί καλλιτέχνες σε δράση,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://www.e-yliko.gr/Lists/List40/DispForm.aspx?ID=164," Εφαρμογή για χρήση από μαθητές με Μέτρια και Ελαφριά Νοητική Καθυστέρηση Ενότητες ζωγραφικής, σχεδίου, μουσικής, κειμένων, εικόνων, έργων τέχνης",ΕΠΕΑΕΚ,"ΕΦΑΡΜΟΓΗ
",Windows,
Μικροί καλλιτέχνες σε δράση Α´,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΚΑΛΛΙΤΕΧΝΙΚΑ,ΠΡΟΣΧΟΛΙΚΗ,http://photodentro.edu.gr/edusoft/r/8531/222?locale=el,"Ενότητες ζωγραφικής, σχεδίου, μουσικής, κειμένων, εικόνων, έργων τέχνης",,,WINDOWS,
Μυκηναϊκός Πολιτισμός,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΙΣΤΟΡΙΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,"Εκπαιδευτικός μικρόκοσμος του Αβακίου, που αφορά την Μυκηναϊκή ιστορία και πολιτισμό",Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Νεοελληνική Γλώσσα Α-Γ Γυμνασίου,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ξένιος,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΑΓΓΛΙΚΑ#ΓΑΛΛΙΚΑ#ΓΕΡΜΑΝΙΚΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,"Εκπαιδευτικός Μικρόκοσμος του Αβακίου για τη διδασκαλία των Αγγλικών, των Γαλλικών και των Γερμανικών",Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Ο διερμηνευτής της Γλώσσας,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,An Integrated Development Environment for the GLOSSA programming language taught in the 3rd grade of Greek high schools,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Ο Ξεφτέρης και οι 12 θεοί του Ολύμπου,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΙΣΤΟΡΙΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ο Ξεφτέρης ταξιδεύει στην Ελλάδα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΩΓΡΑΦΙΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Οι απορίες του Αντωνάκη,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://www.e-yliko.gr/index.php?option=com_k2&view=item&id=387:oi-apories-tou-antonaki&Itemid=135,"Παράσταση κουκλοθεάτρου (Δεν είναι εφαρμογή, είναι Video)",,,,
Ομηρικά Έπη Α΄ - Β΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΙΣΤΟΡΙΑ#ΓΛΏΣΣΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία του μαθήματος «Ομηρικά Έπη» στις Α´ - Β´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Παιδαγωγικό Ινστιτούτο Κύπρου,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΓΛΏΣΣΑ,ΓΥΜΝΑΣΙΟ,http://www.pi.ac.cy/pi/index.php?option=com_content&view=article&id=93&Itemid=340&lang=el,Βάσεις Δεδομένων - Ηλεκτρονικές Βιβλιοθήκες,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Παίζω και μετρώ με τα σχήματα,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΜΑΘΗΜΑΤΙΚΑ,ΠΡΟΣΧΟΛΙΚΗ,http://photodentro.edu.gr/edusoft/r/8531/234?locale=el,Εκπαιδευτικά σενάρια μαθηματικών,,,,
Παιχνίδι Γνώσεων,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΜΕΛΕΤΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
"Πλατφόρμα ""Αίσωπος""","ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ

",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΓΥΜΝΑΣΙΟ#ΛΥΚΕΙΟ,http://aesop.iep.edu.gr/,,,ΠΛΑΤΦΟΡΜΑ,,
Πληροφορική Α΄ - Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία της Πληροφορικής στις Α´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Πύλη για την Ελληνική Γλώσσα,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΓΛΏΣΣΑ,ΓΥΜΝΑΣΙΟ,http://www.greek-language.gr/greekLang/modern_greek/bibliographies/edu_soft/02.html,Λογισμικό για τη Διδασκαλία της Νέας Ελληνικής,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
"Σίσυφος (SISYPHOS)
","ΣΥΣΤΗΜΑΤΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΛΗΡΟΦΟΡΙΩΝ
","ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ
",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://sisyphos.nekpap.mysch.gr/,Πληροφοριακό Σύστημα Σχολείου,"OPEN SOURCE
","ΠΛΑΤΦΟΡΜΑ
",,
Ταξιδεύοντας με τους χάρτες,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΩΓΡΑΦΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ταξίδι στη φύση με νόημα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΦΥΣΙΚΗ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
"Ταξίδι στη χώρα των γραμμάτων. Ο Ξεφτέρης και ο θησαυρός του κοκκινομύτη, Ο Ξεφτέρης και η γραμματική","ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ταξίδι στο κόσμο στον κόσμο με νόημα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
","ΙΣΤΟΡΙΑ
","ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ταξίδι στον κόσμο με νόημα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΩΓΡΑΦΙΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ταξινομούμε,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΜΑΘΗΜΑΤΙΚΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Εκπαιδευτικός μικρόκοσμος του Αβακίου για τη διδασκαλία της Στατιστικής και των Πιθανοτήτων,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
ΤΟ ΔΕΛΦΙΝΙ,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/gia-mathites-me-metria-kai-elafria-nohtikh-kathysterhsh/to-delfini,Εφαρμογή για χρήση από μαθητές με Αυτισμό,ΙΕΠ / ΕΣΠΑ,"ΕΦΑΡΜΟΓΗ
",Windows,
Το Μαγικό Φίλτρο 2.0,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.media.uoa.gr/epinoisi,Εφαρμογή για χρήση από μαθητές με Μέτρια και Ελαφριά Νοητική Καθυστέρηση,"Εργαστήριο Νέων Τεχνολογιών στην Επικοινωνία, την Εκπαίδευση και τα ΜΜΕ","ΕΦΑΡΜΟΓΗ
",Windows,
Το σπίτι και το σχολείο μου,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Βαριά Νοητική Καθυστέρηση,Λογισμικό Π.Ι. / ΙΕΛ,"ΕΦΑΡΜΟΓΗ
",Windows,
Τοπική Ιστορία Γ΄ Γυμνασίου,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΙΣΤΟΡΙΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία της Τοπικής Ιστορίας στη Γ´ τάξη του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
"Υπερ-Δομή, LT125 Thinking Mind","ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://earthlab.uoi.gr/hyperdomi/downloads/LT125_DigitPecs.zip,Εφαρμογή για χρήση από μαθητές με Μέτρια και Ελαφριά Νοητική Καθυστέρηση,ΕΠΕΑΕΚ,"ΕΦΑΡΜΟΓΗ
",Windows,
Φυσικά Ε – ΣΤ Δημοτικού,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΦΥΣΙΚΗ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Φυσική Α΄- Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΦΥΣΙΚΗ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία της Φυσικής στις Β´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Φυσική Αγωγή Α΄- Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΦΥΣΙΚΗ ΑΓΩΓΉ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία της Φυσικής Αγωγής στις Α´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Χελωνόκοσμοι,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Εκπαιδευτικός Μικρόκοσμος του Αβακίου για δημιουργία μικρόκοσμων για τα μαθηματικά,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Χημεία Β’ – Γ’ Γυμνασίου,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΧΗΜΕΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Χημεία Β΄ - Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΧΗΜΕΙΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία της Χημείας στις Β´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Χημεία με νόημα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΧΗΜΕΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
A1 Academa,"ΣΥΣΤΗΜΑΤΑ ΔΙΑΧΕΙΡΙΣΗΣ ΠΛΗΡΟΦΟΡΙΩΝ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.academia.a1.io,Συστήματα διαχείρισης Πληροφοριών,,,,
Accessibar,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
","http://accessibar.mozdev.org/, http://access.uoa.gr/ATHENA/applications/view/2",Αντίθεση/Χρώματα - Μεγέθυνση Οθόνης,MOZDEV,"ΕΦΑΡΜΟΓΗ
",Είναι συμβατό με όλα τα λειτουργικά συστήματα που υποστηρίζουν την έκδοση 3 του φυλλομετρητή Mozilla Firefox,
Akregator,"
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,https://userbase.kde.org/Akregator/el,Αναζήτηση ροών,,,,
apache server,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΑΣΤΗΡΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,,apache.org,server,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Apere,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,,http://www.oaeproject.org,Πλατφόρμες eLearning,,,,
AppInventor,"ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,appinventor.mit.edu/,"Το App Inventor για Android είναι ένα περιβάλλον οπτικού προγραμματισμού που παρεχόταν αρχικά από την Google, και τώρα διατίθεται και υποστηρίζεται από το ΜΙΤ.",OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,"ONLINE
",
Archimides,ΗΛΕΚΤΡΟΝΙΚΗ,ΤΕΧΝΟΛΟΓΙΑ,ΓΥΜΝΑΣΙΟ,https://www.gnu.org/software/archimedes/,Το Archimedes είναι ένα πακέτο για  semiconductor device simulation,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Arduino IDE,"ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ
",ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ#ΛΥΚΕΙΟ,https://www.arduino.cc/en/Main/Software,"Το Arduinο IDE είναι ένα λογισμικό που σας επιτρέπει να  διαχειριστείτε και να δημιουργήσετε για το Arduino μέσω του υπολογιστή σας. Περιλαμβάνει έναν editor δημιουργίας και σύνταξης κώδικα, μια κονσόλα κειμένου, μια γραμμή εργαλείων με κουμπιά για κοινές λειτουργίες και μια σειρά από μενού.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Asymptopia crossword builder,ΣΤΑΥΡΟΛΕΞΑ,ΞΕΝΕΣ ΓΛΩΣΣΕΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://sourceforge.net/projects/axwb/,Εφαρμογή για τη δημιουργία σταυρόλεξων με μαθηματικές πράξεις.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Audacious,ΜΟΥΣΙΚΗ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://audacious-media-player.org/,Open source audio player.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Audacity,ΜΟΥΣΙΚΗ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.audacityteam.org/about/,"Το Audacity είναι ένα δωρεάν, εύκολο στη χρήση, multi-track πρόγραμμα επεξεργασίας ήχου και εγγραφής για Windows, Mac OS X, GNU / Linux και άλλα λειτουργικά συστήματα.","OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Avidemux,ΒΙΝΤΕΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://avidemux.sourceforge.net/,"Απλός video editor designed για κόψιμο, φιλτράρισμα και κωδικοποίηση βίντεο",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Babypedia Jigsaw puzzle,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΜΑΘΗΜΑΤΙΚΑ,ΠΡΟΣΧΟΛΙΚΗ,,,,,,
Blender 3D,ΒΙΝΤΕΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://www.blender.org/,"
Το Blender είναι μια από τις δημοφιλέστερες εφαρμογές 3D γραφικών ανοικτού λογισμικούυ και μπορεί να χρησιμοποιηθεί για την δημιουργία 3D οπτικοποιήσεων, ταινιών κτκλ
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
blinken,,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/education/blinken/,Παιχνίδι μνήμης,,,,
Blue Griffon,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://bluegriffon.org/,"Επεξεργαστής κειμένου σχεδίασης ιστοσελίδων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Bluefish,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://bluefish.openoffice.nl/index.html,"O Bluefish editor, είναι ενας editoe για την δημιουργία websites, scripts και κώδικα προγραματισμου. Το Bluefish υποστηρίζει πολλές programming και markup languages. ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
BlueJ,"ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.bluej.org/,Java Development Environment ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Brackets,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://brackets.io/,"Επεξεργαστής κειμένου σχεδίασης ιστοσελίδων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Brasero,ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://wiki.gnome.org/Apps/Brasero,"Εφαρμογή εγγραγής CD/DVD (cdrtools, cdrskin, growisofs,libburn",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Bridge Command,"ΠΡΟΣΟΜΟΙΩΣΗ ΠΛΟΙΟΥ
",ΝΑΥΤΙΛΙΑΚΩΝ ΕΠΑΓΓΕΛΜΑΤΩΝ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://www.bridgecommand.co.uk/,Προσομοίωση πλοίου,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
BRL-CAD,"CAD
","ΜΗΧΑΝΟΛΟΓΙΑΣ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://brlcad.org/,"Σχεδιαστικά CAD, Μηχανολογίας",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Canvas,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.instructure.com,Πλατφόρμες eLearning,,,,
Carto,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΓΕΩΓΡΑΦΙΑ,ΠΡΩΤΟΒΑΘΜΙΑ,"https://carto.com/
","Το εργαλείο CartoDB είναι μια διαδικτυακή πλατφόρμα, εξερευνησης γεωγραφικών δεδομενων",OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,ONLINE,
Celestia,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
","ΑΣΤΡΟΝΟΜΙΑ
","ΠΡΩΤΟΒΑΘΜΙΑ
", http://www.shatters.net/celestia/ ,"Το Celestia http://www.shatters.net/celestia/ είναι ένα λογισμικό τρισδιάστατης εικονικής αναπαράστασης φαινομένων του σύμπαντος και προσφέρει ένα μαθησιακό περιβάλλον για την διδασκαλία στοιχείων αστρονομίας και διαστημικής. Το Celestia είναι κατάλληλο για την κατανόηση, από τους μαθητές της πρωτοβάθμιας και της δευτεροβάθμιας εκπαίδευσης εννοιών σχετικών με το χώρο και για τη θέση του ανθρώπου στη Γη και το διάστημα.",OPEN SOURCE,"ΕΦΑΡΜΟΓΗ
","CROSSPLATFORM
",
centenia,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΙΣΤΟΡΙΑ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.historicalatlas.com/,"CENTENNIA is a map-based guide to the history of Europe and the Middle East from the beginning of the 11th century to the present. It is a dynamic, animated historical atlas including over 9,000 border changes.",,ΠΛΑΤΦΟΡΜΑ,ONLINE,
